"item_name","ID","Created Date","Updated Date","Owner","Description","Image","Price","AED"
"Citrus Indulgence","118976ba-9df0-40d3-b236-710bd7000b7f",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","A wholesome yogurt bowl topped with fresh, vibrant ingredients.","wix:image://v1/edde33_650ae6477ed04436920abf04512939b5~mv2.jpg/Citrus%20Indulgence.jpg#originWidth=2250&originHeight=2250",65,"AED"
"Croissant Eggs Benedict","177bad71-58d2-4c23-a713-32c2ec03ff72",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","Flaky croissants with organic poached egg, smashed avocado, and hollandaise sauce.","wix:image://v1/edde33_58e4024b240a4f78a8bfd1220e1e0863~mv2.jpg/Croissant%20Eggs%20Benedict.jpg#originWidth=1967&originHeight=1967",58,"AED"
"Croissant & Burrata","4f23337d-141f-4c18-af42-b85ab4c3ae63",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","Flaky croissant with fresh and creamy burrata with pan grilled cherry tomatoes.","wix:image://v1/edde33_f04ce0b40957464194dd259a2ed53041~mv2.jpg/CROISSANT%20&%20BURATTA_edited.jpg#originWidth=2070&originHeight=2070",68,"AED"
"French Omelette Shakshuka","5a4474a7-0568-472f-9ca9-7c9c68fcdaea",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","Organic buttery French omelette with aromatic, spicy shakshuka, roasted potatoes, and three mini croissants.","wix:image://v1/edde33_e5a679a7160e4351804188d7c7da3ec2~mv2.jpg/French%20Omelette%20Shakshuka.jpg#originWidth=2127&originHeight=2127",65,"AED"
"Croissant Shakshuka","7256ebe5-c4cf-4393-a2b1-b49fd116e00e",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","Flaky croissants with aromatic, spicy shakshuka, roasted potatoes, and organic poached eggs.","wix:image://v1/edde33_52b0388a827d4275b2d065e396650bb7~mv2.jpg/IMG_3206_edited.jpg#originWidth=1355&originHeight=1355",58,"AED"
"Figs And Berries","8636bef9-8ece-4a64-a8d8-84d3e87e5487",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","A wholesome yogurt bowl topped with fresh, vibrant ingredients.","wix:image://v1/edde33_35e3b33ec2254673af829a53bcdcdc78~mv2.jpg/FIGS%20AND%20BERRIES.jpg#originWidth=3024&originHeight=4032",65,"AED"
"Truffle Ristto","bb1536b4-5e22-4458-8524-dd36b416b51f",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","Truffles, creamy risotto, porcini stock, herbs, and spices with parmesan crisps and shaved truffle.","wix:image://v1/edde33_b29f26f9401c44899682f792a1394a06~mv2.jpg/Truffle%20Ristto.jpg#originWidth=2014&originHeight=2014",76,"AED"
"Creamy Scrambled egg & Roasted Vegetable","d4130e2f-7ef7-49b0-a425-d0e0e82b9f3d",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","Creamy organic scrambled eggs with pencil asparagus and cherry tomatoes.","wix:image://v1/edde33_f737bc9f5115457aad555be8f8c0c197~mv2.jpg/IMG_3313_edited.jpg#originWidth=2206&originHeight=2206",62,"AED"
"Chicken Risotto","de414038-7aaf-4240-ad49-5546ea5b774d",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","Organic chicken, risotto, tomato paste, rich chicken stock, peaches, and parmesan crisps.","wix:image://v1/edde33_b8977f37a7ba4de4b885f6b355770bce~mv2.jpg/Chicken%20Risotto.jpg#originWidth=1956&originHeight=1956",68,"AED"
"Croissant Scrambled Eggs","e07ef90f-c32f-499e-b1eb-f180c946eaff",2024-12-07T09:46:51Z,2024-12-07T09:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","Creamy organic scrambled eggs served with flaky croissants.","wix:image://v1/edde33_c7c720e219654e53a796d084b581abd5~mv2.jpg/Croissant%20scrambled%20egg.jpg#originWidth=1769&originHeight=1769",62,"AED"
