"Name of Ice Coffee","Description","Price","Image","ID","Created Date","Updated Date","Owner","AED"
"Iced Chemex","Light, smooth, and perfectly balanced, this iced brew is an ideal summer coffee.",32,"wix:image://v1/edde33_5ed727eb8090488a8bb47ea1585c15c3~mv2.jpg/Iced%20Chemex_edited.jpg#originWidth=167&originHeight=167","0376830a-9de6-4182-9a6a-5d0e2a5c4526",2024-11-14T07:55:38Z,2024-11-21T06:54:55Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Matcha","Earthy matcha and chilled milk come together for a creamy and energizing drink.",35,"wix:image://v1/edde33_f78ef7b88b194524b5dbd5d7ed4d2f7f~mv2.jpg/Iced%20Matcha_edited.jpg#originWidth=187&originHeight=187","29e47dcb-d5dc-48b0-a9f7-39bfce21061d",2024-11-14T08:00:13Z,2024-11-21T07:02:28Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Rose Latte","Delicate rose essence meets chilled milk and espresso for a floral, refreshing sip.",38,"wix:image://v1/edde33_5d47ceb2d49643d88fd10d0d9cddba61~mv2.jpg/Iced%20Rose%20Latte_edited.jpg#originWidth=188&originHeight=188","2a5c3e0c-56be-4b2a-8d4a-c372febc6176",2024-11-14T07:59:46Z,2024-11-21T07:00:07Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Affogato","Smooth espresso poured over creamy vanilla ice cream, the perfect indulgent treat.",45,"wix:image://v1/edde33_2e539a764c054772aef24da4e0ff24a1~mv2.webp/Affogato.webp#originWidth=187&originHeight=250","452f4409-331d-4921-8c63-14c7601989a3",2024-11-14T08:00:27Z,2024-11-21T07:03:03Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Spanish Cortado","A bold espresso layered with creamy milk and a hint of sweetness, served on ice.",27,"wix:image://v1/edde33_7aa4b73749d644f4b7c572e1f0d0f131~mv2.webp/Iced%20Spanish%20Cortado.webp#originWidth=250&originHeight=192","5307caf3-be1b-4fcf-a932-051e849fb07d",2024-11-14T08:00:19Z,2024-11-21T07:02:42Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Cream espresso","A smooth and creamy espresso drink with a velvety finish, served chilled.",53,"wix:image://v1/edde33_da0a0ed202a54f15b3af1bfaf8d7211e~mv2.jpg/Cream%20espresso_edited.jpg#originWidth=113&originHeight=113","560fa9f5-acc7-4a40-a8c6-32db632ad065",2024-11-14T08:00:51Z,2024-11-21T07:04:01Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Red Velvet","Rich cocoa and espresso blended into a vibrant, velvety iced latte.",38,"wix:image://v1/edde33_a35f9cd3b8b2431b9b0198a38c2df729~mv2.webp/Iced%20Red%20Velvet.webp#originWidth=250&originHeight=167","625053c9-c318-424a-8137-e422e07e7e54",2024-11-14T08:00:00Z,2024-11-21T07:02:04Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Salted vanilla matcha","A harmonious blend of creamy vanilla and earthy matcha, perfectly balanced with a hint of sea salt for a unique and refreshing twist.",45,"wix:image://v1/edde33_044daae4a7454b718890d74cbc0f4286~mv2.webp/Salted%20vanilla%20matcha.webp#originWidth=600&originHeight=600","6fd8e373-8eda-49e1-b3d6-3dd463a4d1b9",2024-11-14T08:00:56Z,2024-11-21T07:05:51Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Latte","Classic and smooth, combining chilled milk and espresso for a timeless refreshment.",34,"wix:image://v1/edde33_feddbf3fab774e2ab469e5832de18ba2~mv2.webp/Iced%20Latte.webp#originWidth=188&originHeight=250","7ef34a12-0402-4787-b8f6-a1d25dc4dda1",2024-11-14T07:59:12Z,2024-11-21T06:56:07Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced V60 - signature lune","A refreshing pour-over experience served over ice, featuring our signature bean selection for a smooth and vibrant flavor.",95,"wix:image://v1/edde33_0725ddba68d64f5b9365419214223545~mv2.jpg/Iced%20V60%20-%20signature%20lune_edited.jpg#originWidth=188&originHeight=188","8414142f-f953-49c7-a2ce-d701a50598d2",2024-11-14T07:55:38Z,2024-11-21T06:53:36Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced White Mocha","Rich white chocolate meets espresso and ice for a creamy, cooling indulgence.",32,"wix:image://v1/edde33_46566fd3ac8c48e8af22158c003eab46~mv2.webp/Iced%20White%20Mocha.webp#originWidth=250&originHeight=198","95d892ef-3dda-4ff0-aab2-93e95787ee91",2024-11-14T08:00:44Z,2024-11-21T07:03:52Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Caramel","Sweet and buttery caramel blended into a refreshing iced coffee.",38,"wix:image://v1/edde33_327e8b30b6744f02a038acf11303cad7~mv2.jpg/Iced%20Caramel%20Latte_edited.jpg#originWidth=192&originHeight=192","b51a7ad0-43ab-4f5d-b199-cfe7ce2639e8",2024-11-14T08:00:37Z,2024-11-21T07:03:33Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Espresso Tonic","A vibrant mix of rich espresso and sparkling tonic water for a refreshing twist.",45,"wix:image://v1/edde33_2efc3d4202c44f3b95b57bae213690b6~mv2.webp/Espresso%20Tonic.webp#originWidth=250&originHeight=167","b6d3346f-3bce-41c3-b0cd-428728383350",2024-11-14T08:00:26Z,2024-11-21T07:02:49Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Caramel Latte","Sweet caramel combined with espresso and milk over ice for a decadent treat.",38,"wix:image://v1/edde33_327e8b30b6744f02a038acf11303cad7~mv2.jpg/Iced%20Caramel%20Latte_edited.jpg#originWidth=192&originHeight=192","bb8418a7-b935-4d6c-9305-95fc6f17accd",2024-11-14T07:59:53Z,2024-11-21T07:00:17Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Spanish Latte","A creamy, sweet, and cooling delight with a rich espresso base.",38,"wix:image://v1/edde33_f32d38bb68724cc4b4ceaa3ff24625f1~mv2.webp/Iced%20Spanish%20Latte.webp#originWidth=250&originHeight=192","bbc98b68-3110-49a2-ab90-937b097457b8",2024-11-14T07:55:38Z,2024-11-21T06:55:21Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Iced Latte Pistacho","A creamy blend of espresso and milk with a nutty pistachio twist, served chilled.",38,"wix:image://v1/edde33_c020dae788024b1e8c4774808a28e05c~mv2.webp/Iced%20Latte%20Pistacho.webp#originWidth=250&originHeight=192","d2fce76f-4fb8-4759-8454-c6639d8b04fe",2024-11-14T07:59:31Z,2024-11-21T06:59:53Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
